LogIntensity,ResolutionRange
6.423380,12.64-9.89
2.530288,12.64-9.89
3.490966,12.64-9.89
3.780905,12.64-9.89
3.334422,12.64-9.89
5.365900,12.64-9.89
7.120872,12.64-9.89
5.882167,12.64-9.89
4.054116,12.64-9.89
6.058268,12.64-9.89
6.627064,12.64-9.89
3.717044,12.64-9.89
5.373989,12.64-9.89
3.969700,12.64-9.89
4.246179,12.64-9.89
3.229481,12.64-9.89
6.133630,12.64-9.89
7.766757,12.64-9.89
6.511799,12.64-9.89
2.764902,12.64-9.89
2.632858,12.64-9.89
4.543107,12.64-9.89
0.631589,12.64-9.89
5.128162,12.64-9.89
4.821093,12.64-9.89
5.363108,12.64-9.89
2.238242,12.64-9.89
4.071577,12.64-9.89
4.389438,12.64-9.89
4.169791,12.64-9.89
4.532053,12.64-9.89
4.682012,12.64-9.89
5.534173,12.64-9.89
2.641077,12.64-9.89
0.267599,12.64-9.89
5.269096,12.64-9.89
5.419752,12.64-9.89
7.425068,12.64-9.89
4.028611,12.64-9.89
7.808357,12.64-9.89
3.385513,12.64-9.89
6.093794,12.64-9.89
3.477376,12.64-9.89
3.969700,12.64-9.89
6.685606,12.64-9.89
6.511799,12.64-9.89
4.870439,12.64-9.89
5.713435,12.64-9.89
2.727581,12.64-9.89
3.159822,12.64-9.89
3.769569,12.64-9.89
6.571501,12.64-9.89
2.803654,12.64-9.89
4.911037,12.64-9.89
3.554290,12.64-9.89
6.627064,12.64-9.89
5.352952,12.64-9.89
7.107896,12.64-9.89
6.882796,12.64-9.89
4.191024,12.64-9.89
4.889918,12.64-9.89
5.088677,12.64-9.89
6.941325,12.64-9.89
4.194915,12.64-9.89
5.411646,12.64-9.89
6.571328,12.64-9.89
5.602273,12.64-9.89
3.867031,12.64-9.89
4.285077,12.64-9.89
3.655334,12.64-9.89
3.403612,12.64-9.89
4.634064,12.64-9.89
5.352952,12.64-9.89
3.076801,12.64-9.89
3.403612,12.64-9.89
7.768620,12.64-9.89
5.368921,12.64-9.89
3.681040,12.64-9.89
3.712839,12.64-9.89
4.049418,12.64-9.89
5.130674,12.64-9.89
7.225239,12.64-9.89
4.194915,12.64-9.89
4.453807,12.64-9.89
5.439716,12.64-9.89
5.207680,12.64-9.89
6.204251,12.64-9.89
5.353166,12.64-9.89
6.449308,12.64-9.89
4.902914,12.64-9.89
5.606664,12.64-9.89
4.128847,12.64-9.89
6.130112,12.64-9.89
5.420509,12.64-9.89
5.491928,12.64-9.89
7.852444,12.64-9.89
6.599749,12.64-9.89
2.641077,12.64-9.89
4.600397,12.64-9.89
7.394309,12.64-9.89
5.756416,12.64-9.89
3.268554,12.64-9.89
3.450915,12.64-9.89
4.066386,12.64-9.89
6.130112,12.64-9.89
5.890838,12.64-9.89
8.284726,12.64-9.89
3.830365,12.64-9.89
5.143688,12.64-9.89
6.038363,12.64-9.89
4.273464,12.64-9.89
4.166945,12.64-9.89
7.190946,12.64-9.89
6.121140,12.64-9.89
4.680436,12.64-9.89
3.574088,12.64-9.89
5.602273,12.64-9.89
5.634762,12.64-9.89
6.068907,12.64-9.89
5.217245,12.64-9.89
5.386499,12.64-9.89
7.546623,12.64-9.89
4.318961,12.64-9.89
7.259445,12.64-9.89
1.841210,12.64-9.89
6.109902,12.64-9.89
4.240835,12.64-9.89
5.089241,12.64-9.89
1.841210,12.64-9.89
6.784496,12.64-9.89
6.919916,12.64-9.89
5.308290,12.64-9.89
7.313086,12.64-9.89
5.481892,12.64-9.89
2.323744,12.64-9.89
7.157297,12.64-9.89
5.419752,12.64-9.89
3.920086,12.64-9.89
4.034689,12.64-9.89
5.892296,12.64-9.89
4.915675,12.64-9.89
5.207680,12.64-9.89
6.654082,12.64-9.89
5.176696,12.64-9.89
4.191024,12.64-9.89
5.755306,12.64-9.89
1.724807,12.64-9.89
5.606664,12.64-9.89
4.034832,12.64-9.89
5.711067,12.64-9.89
7.345703,12.64-9.89
6.215697,12.64-9.89
4.111836,12.64-9.89
5.905697,12.64-9.89
4.636427,12.64-9.89
4.752951,12.64-9.89
5.637970,12.64-9.89
5.308290,12.64-9.89
7.140129,12.64-9.89
7.546623,12.64-9.89
5.608981,12.64-9.89
3.554290,12.64-9.89
5.582182,12.64-9.89
5.159740,12.64-9.89
2.466993,12.64-9.89
5.234944,12.64-9.89
2.055221,12.64-9.89
7.259445,12.64-9.89
7.140129,12.64-9.89
6.012490,12.64-9.89
4.607956,12.64-9.89
4.015161,12.64-9.89
6.038363,12.64-9.89
3.334422,12.64-9.89
3.268554,12.64-9.89
3.716113,12.64-9.89
5.810173,12.64-9.89
5.089241,12.64-9.89
1.632840,12.64-9.89
4.475994,12.64-9.89
3.898168,12.64-9.89
3.528137,12.64-9.89
6.459029,12.64-9.89
4.677068,12.64-9.89
5.575125,12.64-9.89
5.882167,12.64-9.89
4.475994,12.64-9.89
2.971575,12.64-9.89
6.512798,12.64-9.89
5.058706,12.64-9.89
6.186244,12.64-9.89
2.323744,12.64-9.89
6.685606,12.64-9.89
6.058268,12.64-9.89
5.688422,12.64-9.89
3.806784,12.64-9.89
7.302689,12.64-9.89
3.116662,12.64-9.89
6.047215,12.64-9.89
7.107896,12.64-9.89
6.654082,12.64-9.89
4.151647,12.64-9.89
6.622817,12.64-9.89
2.632858,12.64-9.89
4.680436,12.64-9.89
3.750974,12.64-9.89
7.766757,12.64-9.89
6.512798,12.64-9.89
6.468389,12.64-9.89
6.941325,12.64-9.89
4.049479,12.64-9.89
6.133630,12.64-9.89
1.511139,12.64-9.89
3.806784,12.64-9.89
4.318961,12.64-9.89
3.286535,12.64-9.89
3.926695,12.64-9.89
1.934764,12.64-9.89
5.156099,12.64-9.89
4.049418,12.64-9.89
3.783820,12.64-9.89
5.420509,12.64-9.89
2.758616,12.64-9.89
5.855252,12.64-9.89
3.284155,12.64-9.89
5.127025,12.64-9.89
5.207554,12.64-9.89
3.355612,12.64-9.89
7.808357,12.64-9.89
4.882763,12.64-9.89
5.810173,12.64-9.89
2.386279,12.64-9.89
4.752951,12.64-9.89
4.565663,12.64-9.89
5.497904,12.64-9.89
1.724807,12.64-9.89
4.902914,12.64-9.89
5.731251,12.64-9.89
6.181991,12.64-9.89
5.841521,12.64-9.89
7.675584,12.64-9.89
5.130674,12.64-9.89
5.088677,12.64-9.89
4.273464,12.64-9.89
2.803654,12.64-9.89
5.534173,12.64-9.89
4.006977,12.64-9.89
4.889624,12.64-9.89
6.343270,12.64-9.89
5.905697,12.64-9.89
6.200915,12.64-9.89
1.632840,12.64-9.89
5.353166,12.64-9.89
4.870439,12.64-9.89
5.089941,12.64-9.89
5.156099,12.64-9.89
6.244454,12.64-9.89
7.190946,12.64-9.89
6.093794,12.64-9.89
4.889624,12.64-9.89
4.779381,12.64-9.89
6.778033,12.64-9.89
2.055221,12.64-9.89
5.575125,12.64-9.89
5.608981,12.64-9.89
4.099184,12.64-9.89
4.543107,12.64-9.89
4.075751,12.64-9.89
3.712839,12.64-9.89
5.159740,12.64-9.89
6.480236,12.64-9.89
5.669444,12.64-9.89
5.373989,12.64-9.89
-0.640577,12.64-9.89
7.738289,12.64-9.89
4.075751,12.64-9.89
6.622817,12.64-9.89
6.012490,12.64-9.89
6.389724,12.64-9.89
3.116662,12.64-9.89
5.497904,12.64-9.89
5.365900,12.64-9.89
6.571501,12.64-9.89
7.379057,12.64-9.89
2.758616,12.64-9.89
6.919916,12.64-9.89
4.015161,12.64-9.89
5.386499,12.64-9.89
5.959194,12.64-9.89
3.655334,12.64-9.89
6.200915,12.64-9.89
7.394309,12.64-9.89
